Startup Name,Founded Year,Country,Industry,Funding Stage,Total Funding 
Startup_1122,2015,Japan,Energy,IPO,339.0
Startup_1123,2007,Germany,AI,Series C,390.0
Startup_1124,2019,USA,Healthcare,Series C,420.0
Startup_1125,2005,Brazil,FinTech,Series B,95.0
Startup_1126,2017,Germany,AI,Seed,431.0
Startup_1127,2019,USA,EdTech,Series C,243.0
Startup_1128,2013,UK,Gaming,Series A,194.0
Startup_1129,2003,India,E-commerce,Series B,224.0
Startup_1130,2001,USA,Healthcare,Series C,469.0
Startup_1131,2005,Germany,FoodTech,Series A,3.0
Startup_1132,2011,USA,AI,Seed,328.0
Startup_1133,2008,France,EdTech,Series B,313.0
Startup_1134,2016,UK,Energy,Series B,429.0
Startup_1135,2016,India,FoodTech,IPO,8.0
Startup_1136,2020,UK,Energy,Series C,386.0
Startup_1137,2020,Germany,FinTech,Series A,102.0
Startup_1138,2017,France,Energy,Series C,223.0
Startup_1139,2008,Japan,AI,Series B,409.0
Startup_1140,2002,Canada,Logistics,Series B,64.0
Startup_1141,2009,France,Gaming,Seed,282.0
Startup_1142,2014,India,EdTech,Series C,12.0
Startup_1143,2009,USA,Gaming,Seed,109.0
Startup_1144,2005,UK,Healthcare,IPO,46.0
Startup_1145,2016,Brazil,E-commerce,Series C,223.0
Startup_1146,2018,Australia,Tech,Seed,408.0
Startup_1147,2014,France,Logistics,Series B,121.0
Startup_1148,2001,China,Logistics,IPO,222.0
Startup_1149,2014,Japan,Energy,Series C,164.0
Startup_1150,2010,USA,Logistics,Seed,102.0
Startup_1151,2004,Germany,Tech,IPO,60.0
Startup_1152,2003,Japan,Tech,IPO,137.0
Startup_1153,2014,Germany,E-commerce,Series B,97.0
Startup_1154,2016,China,Logistics,IPO,371.0
Startup_1155,2019,USA,Tech,Seed,17.0
Startup_1156,2018,Canada,Healthcare,Series C,150.0
Startup_1157,2002,Canada,AI,IPO,370.0
Startup_1158,2022,Australia,FoodTech,Series C,183.0
Startup_1159,2014,Germany,Energy,Series B,160.0
Startup_1160,2018,China,E-commerce,IPO,292.0
Startup_1161,2005,Germany,Healthcare,Series C,212.0
Startup_1162,2016,Australia,Energy,Series C,50.0
Startup_1163,2017,France,EdTech,Series A,294.0
Startup_1164,2002,Germany,Energy,IPO,123.0
Startup_1165,2008,UK,Healthcare,Series B,46.0
Startup_1166,2000,UK,Logistics,Series A,364.0
Startup_1167,2018,Germany,Logistics,Seed,336.0
Startup_1168,2015,USA,EdTech,Seed,493.0
Startup_1169,2002,Canada,AI,Series B,416.0
Startup_1170,2019,USA,Healthcare,Series A,151.0
Startup_1171,2009,Australia,Logistics,Series B,144.0
Startup_1172,2017,Japan,FinTech,Seed,213.0
Startup_1173,2010,Canada,Gaming,Series B,303.0
Startup_1174,2006,Germany,Gaming,Series B,213.0
Startup_1175,2010,USA,FoodTech,Series A,150.0
Startup_1176,2008,UK,Logistics,Seed,274.0
Startup_1177,2015,China,AI,Series C,76.0
Startup_1178,2008,China,E-commerce,Series C,415.0
Startup_1179,2002,India,AI,Seed,268.0
Startup_1180,2020,Australia,EdTech,Series A,57.0
Startup_1181,2000,Germany,Gaming,Series B,351.0
Startup_1182,2013,Germany,Healthcare,IPO,469.0
Startup_1183,2001,China,EdTech,Seed,498.0
Startup_1184,2020,India,EdTech,Series C,149.0
Startup_1185,2004,China,Healthcare,IPO,346.0
Startup_1186,2016,China,FoodTech,Series A,235.0
Startup_1187,2003,China,FoodTech,Series A,82.0
Startup_1188,2010,China,FoodTech,Series A,87.0
Startup_1189,2000,France,FinTech,Series A,209.0
Startup_1190,2012,Australia,Logistics,Series C,244.0
Startup_1191,2018,India,AI,IPO,399.0
Startup_1192,2020,France,Energy,Seed,361.0
Startup_1193,2005,Australia,FinTech,Series B,349.0
Startup_1194,2010,Germany,FinTech,Series A,69.0
Startup_1195,2005,China,Gaming,Series C,312.0
Startup_1196,2008,Japan,Healthcare,Seed,232.0
Startup_1197,2013,Japan,AI,IPO,90.0
Startup_1198,2020,China,Gaming,Series B,82.0
Startup_1199,2001,Germany,Energy,Series A,8.0
Startup_1200,2015,France,Gaming,IPO,196.0
Startup_1201,2018,France,Gaming,Seed,116.0
Startup_1202,2012,Germany,Gaming,IPO,130.0
Startup_1203,2019,USA,FinTech,Seed,252.0
Startup_1204,2002,Canada,FinTech,IPO,379.0
Startup_1205,2018,USA,Logistics,Seed,266.0
Startup_1206,2016,China,FinTech,Series A,403.0
Startup_1207,2001,Japan,Tech,Series B,412.0
Startup_1208,2007,Brazil,AI,Series A,82.0
Startup_1209,2022,USA,Logistics,IPO,477.0
Startup_1210,2008,Germany,Energy,Seed,242.0
Startup_1211,2019,UK,Healthcare,Seed,288.0
Startup_1212,2006,Australia,Tech,Series A,132.0
Startup_1213,2005,France,Logistics,IPO,51.0
Startup_1214,2005,USA,Healthcare,Series A,73.0
Startup_1215,2018,UK,Healthcare,Series A,311.0
Startup_1216,2017,France,FinTech,IPO,78.0
Startup_1217,2022,UK,Logistics,Series A,256.0
Startup_1218,2014,Canada,E-commerce,IPO,433.0
Startup_1219,2010,Germany,Healthcare,Series A,382.0
Startup_1220,2021,Brazil,Gaming,Series C,485.0
Startup_1221,2020,Brazil,Tech,Series A,112.0
Startup_1222,2010,Australia,AI,Series C,156.0
Startup_1223,2021,France,Energy,Series A,133.0
Startup_1224,2011,France,Healthcare,Seed,6.0
Startup_1225,2011,Australia,E-commerce,IPO,298.0
Startup_1226,2013,France,EdTech,Seed,63.0
Startup_1227,2021,Germany,Gaming,IPO,86.0
Startup_1228,2009,Brazil,EdTech,IPO,139.0
Startup_1229,2014,Japan,Logistics,Series A,12.0
Startup_1230,2004,France,AI,Series B,171.0
Startup_1231,2021,China,FinTech,IPO,307.0
Startup_1232,2011,USA,AI,Series C,121.0
Startup_1233,2001,Japan,Tech,Seed,477.0
Startup_1234,2009,France,EdTech,Series B,194.0
Startup_1235,2016,Brazil,E-commerce,Series C,83.0
Startup_1236,2003,Brazil,Gaming,Series A,245.0
Startup_1237,2000,Canada,Energy,IPO,68.0
Startup_1238,2010,Brazil,Gaming,Series A,241.0
Startup_1239,2006,Canada,Gaming,IPO,493.0
Startup_1240,2005,India,E-commerce,Series A,178.0
Startup_1241,2016,China,FinTech,Series B,225.0
Startup_1242,2005,Japan,FinTech,Series C,6.0
Startup_1243,2020,UK,Gaming,Series A,40.0
Startup_1244,2013,UK,E-commerce,Seed,205.0
Startup_1245,2021,Japan,Energy,IPO,378.0
Startup_1246,2003,Germany,Gaming,Series A,108.0
Startup_1247,2015,China,Energy,IPO,407.0
Startup_1248,2004,France,FinTech,Series A,337.0
Startup_1249,2015,China,Logistics,Series B,82.0
Startup_1250,2007,Brazil,Healthcare,IPO,81.0
Startup_1251,2008,France,Tech,Series B,42.0
Startup_1252,2008,Canada,FoodTech,IPO,463.0
Startup_1253,2004,Australia,FinTech,Series B,125.0
Startup_1254,2001,Japan,AI,Series C,292.0
Startup_1255,2000,Germany,Energy,Series B,191.0
Startup_1256,2004,USA,Energy,IPO,3.0
Startup_1257,2005,Australia,Gaming,Series C,385.0
Startup_1258,2003,Japan,Tech,Series C,138.0
Startup_1259,2009,India,FoodTech,Series C,255.0
Startup_1260,2002,UK,FoodTech,Series A,327.0
Startup_1261,2004,Brazil,FoodTech,IPO,412.0
Startup_1262,2019,France,Tech,Series C,199.0
Startup_1263,2008,Japan,Healthcare,Series C,90.0
Startup_1264,2015,Brazil,Healthcare,Series A,105.0
Startup_1265,2013,USA,FoodTech,Seed,286.0
Startup_1266,2012,India,Energy,Series B,40.0
Startup_1267,2019,UK,Logistics,Series C,470.0
Startup_1268,2012,India,Gaming,IPO,376.0
Startup_1269,2008,France,Energy,Series C,49.0
Startup_1270,2007,USA,Gaming,Series A,74.0
Startup_1271,2016,Germany,FoodTech,Series A,272.0
Startup_1272,2003,China,Gaming,Series C,345.0
Startup_1273,2001,UK,AI,Series B,180.0
Startup_1274,2000,Australia,Tech,Series C,175.0
Startup_1275,2021,China,Tech,IPO,369.0
Startup_1276,2004,Brazil,FinTech,Seed,74.0
Startup_1277,2004,Japan,Energy,Seed,167.0
Startup_1278,2004,China,Tech,Series C,231.0
Startup_1279,2021,India,E-commerce,Series C,104.0
Startup_1280,2005,India,FoodTech,Series A,245.0
Startup_1281,2013,France,Logistics,Series C,134.0
Startup_1282,2020,UK,FoodTech,IPO,333.0
Startup_1283,2017,Japan,Tech,Seed,92.0
Startup_1284,2007,India,Logistics,IPO,176.0
Startup_1285,2001,France,AI,Series C,31.0
Startup_1286,2007,Germany,FoodTech,Seed,20.0
Startup_1287,2001,Germany,Logistics,Series A,270.0
Startup_1288,2002,China,E-commerce,Series B,279.0
Startup_1289,2006,Brazil,Healthcare,Series C,160.0
Startup_1290,2008,Germany,E-commerce,Series C,390.0
Startup_1291,2005,China,EdTech,Series A,127.0
Startup_1292,2017,Canada,Healthcare,Series A,228.0
Startup_1293,2004,USA,Gaming,IPO,125.0
Startup_1294,2018,USA,Energy,Series B,423.0
Startup_1295,2001,Canada,Healthcare,Series C,326.0
Startup_1296,2017,Canada,FinTech,Series C,119.0
Startup_1297,2012,USA,Logistics,IPO,293.0
Startup_1298,2015,France,Logistics,IPO,130.0
Startup_1299,2003,Japan,Healthcare,Seed,136.0
Startup_1300,2015,Brazil,Gaming,IPO,171.0
Startup_1301,2022,Germany,Tech,Seed,215.0
Startup_1302,2011,Brazil,Gaming,Series C,411.0
Startup_1303,2013,Japan,AI,Series B,323.0
Startup_1304,2000,China,FinTech,IPO,274.0
Startup_1305,2015,Australia,Energy,Series B,430.0
Startup_1306,2008,Japan,Logistics,Series C,437.0
Startup_1307,2008,France,Gaming,Series C,195.0
Startup_1308,2002,Germany,E-commerce,Seed,418.0
Startup_1309,2012,Canada,E-commerce,Series C,45.0
Startup_1310,2010,France,Tech,Seed,70.0
Startup_1311,2017,Australia,E-commerce,Series B,452.0
Startup_1312,2009,India,AI,Series C,232.0
Startup_1313,2014,China,EdTech,Series C,268.0
Startup_1314,2004,India,Energy,IPO,189.0
Startup_1315,2000,China,E-commerce,Seed,62.0
Startup_1316,2007,UK,Tech,IPO,442.0
Startup_1317,2018,India,E-commerce,Series C,428.0
Startup_1318,2000,Japan,Healthcare,Series B,72.0
Startup_1319,2013,India,Gaming,Series A,453.0
Startup_1320,2014,China,Energy,IPO,375.0
Startup_1321,2006,UK,Energy,Seed,495.0
Startup_1322,2002,Canada,Logistics,Series C,27.0
Startup_1323,2020,Australia,Healthcare,IPO,237.0
Startup_1324,2001,Canada,EdTech,Series C,204.0
Startup_1325,2009,UK,FinTech,Series C,258.0
Startup_1326,2009,Canada,Logistics,Series C,140.0
Startup_1327,2009,India,AI,Series A,86.0
Startup_1328,2012,USA,Energy,Series A,111.0
Startup_1329,2011,Brazil,E-commerce,Series B,87.0
Startup_1330,2022,UK,Gaming,Series C,69.0
Startup_1331,2003,Brazil,EdTech,Series B,13.0
Startup_1332,2020,Brazil,AI,IPO,289.0
Startup_1333,2013,Japan,AI,Series A,349.0
Startup_1334,2006,France,Logistics,Series B,62.0
Startup_1335,2005,Japan,Gaming,Series A,86.0
Startup_1336,2010,USA,Healthcare,Series C,80.0
Startup_1337,2011,UK,AI,Seed,283.0
Startup_1338,2003,China,Logistics,IPO,401.0
Startup_1339,2012,China,E-commerce,IPO,229.0
Startup_1340,2018,Australia,Healthcare,Seed,125.0
Startup_1341,2011,Germany,Healthcare,Series A,105.0
Startup_1342,2009,Australia,AI,Series C,420.0
Startup_1343,2007,Japan,E-commerce,Series C,488.0
Startup_1344,2004,Canada,FinTech,Series C,365.0
Startup_1345,2021,India,FoodTech,IPO,36.0
Startup_1346,2017,USA,FinTech,Series B,437.0
Startup_1347,2018,India,Healthcare,Series A,402.0
Startup_1348,2015,UK,Gaming,Seed,157.0
Startup_1349,2000,Brazil,Gaming,Series B,13.0
Startup_1350,2006,Brazil,Energy,Seed,53.0
Startup_1351,2021,UK,Logistics,Series C,232.0
Startup_1352,2015,UK,Energy,Series B,325.0
Startup_1353,2022,Australia,FoodTech,Series C,26.0
Startup_1354,2016,USA,AI,Series A,361.0
Startup_1355,2004,Japan,Tech,IPO,256.0
Startup_1356,2009,Brazil,Energy,Seed,173.0
Startup_1357,2003,Brazil,Logistics,IPO,495.0
Startup_1358,2022,Germany,Energy,Series B,190.0
Startup_1359,2004,Germany,Gaming,Series C,286.0
Startup_1360,2013,Australia,Logistics,Series C,482.0
Startup_1361,2008,Japan,Healthcare,Series A,199.0
Startup_1362,2016,Germany,E-commerce,Series B,103.0
Startup_1363,2007,China,EdTech,Series A,161.0
Startup_1364,2002,UK,FoodTech,Seed,303.0
Startup_1365,2015,Canada,E-commerce,Series B,68.0
Startup_1366,2017,India,Tech,Series A,389.0
Startup_1367,2013,Germany,Logistics,Series B,436.0
Startup_1368,2014,Australia,FinTech,Series C,454.0
Startup_1369,2018,Germany,Healthcare,IPO,243.0
Startup_1370,2015,Japan,E-commerce,Series B,13.0
Startup_1371,2000,UK,Tech,Series A,408.0
Startup_1372,2004,Australia,FoodTech,Series C,233.0
Startup_1373,2000,Australia,Logistics,IPO,366.0
Startup_1374,2019,Australia,E-commerce,Series C,346.0
Startup_1375,2006,Australia,AI,Seed,342.0
Startup_1376,2000,Canada,Energy,IPO,200.0
Startup_1377,2012,USA,Energy,Series B,415.0
Startup_1378,2008,France,FoodTech,Seed,434.0
Startup_1379,2007,Canada,EdTech,Series B,444.0
Startup_1380,2016,UK,EdTech,Series B,298.0
Startup_1381,2001,Germany,Tech,Seed,481.0
Startup_1382,2001,India,AI,Series B,426.0
Startup_1383,2021,UK,E-commerce,Seed,287.0
Startup_1384,2017,Australia,EdTech,Seed,231.0
Startup_1385,2015,India,Gaming,Series C,94.0
Startup_1386,2008,USA,FoodTech,Series A,122.0
Startup_1387,2009,Australia,Tech,Series C,425.0
Startup_1388,2016,France,EdTech,Seed,337.0
Startup_1389,2021,Germany,Healthcare,Seed,116.0
Startup_1390,2005,Germany,Healthcare,Series A,185.0
Startup_1391,2022,Canada,FinTech,Seed,306.0
Startup_1392,2008,India,Gaming,Series A,174.0
Startup_1393,2002,USA,Gaming,Series C,263.0
Startup_1394,2008,Canada,Healthcare,IPO,318.0
Startup_1395,2019,USA,EdTech,Series A,347.0
Startup_1396,2007,Brazil,Energy,Seed,101.0
Startup_1397,2000,Japan,Logistics,Seed,62.0
Startup_1398,2007,UK,Energy,IPO,470.0
Startup_1399,2010,Australia,FoodTech,IPO,471.0
Startup_1400,2021,France,Energy,Series C,416.0
Startup_1401,2003,Germany,EdTech,Series A,62.0
Startup_1402,2011,USA,AI,Series B,311.0
Startup_1403,2008,Brazil,AI,Series C,370.0
Startup_1404,2010,USA,Gaming,Series A,384.0
Startup_1405,2014,Brazil,Tech,Seed,115.0
Startup_1406,2008,China,Gaming,Series C,213.0
Startup_1407,2001,Brazil,AI,IPO,399.0
Startup_1408,2013,Canada,FinTech,Series A,103.0
Startup_1409,2020,Australia,Gaming,Series C,443.0
Startup_1410,2005,Brazil,FoodTech,Series A,253.0
Startup_1411,2006,USA,Energy,Series A,34.0
Startup_1412,2007,Brazil,Gaming,Series B,230.0
Startup_1413,2020,China,Energy,Series C,20.0
Startup_1414,2002,USA,FoodTech,Series C,132.0
Startup_1415,2013,France,Tech,Seed,71.0
Startup_1416,2017,Japan,AI,Series A,343.0
Startup_1417,2014,Brazil,Energy,IPO,232.0
Startup_1418,2013,France,FinTech,Series C,421.0
Startup_1419,2007,China,Energy,Seed,457.0
Startup_1420,2010,UK,EdTech,Series A,345.0
Startup_1421,2003,India,Energy,Series C,262.0
Startup_1422,2019,India,Gaming,Series A,258.0
Startup_1423,2020,Brazil,AI,Seed,320.0
Startup_1424,2017,China,Logistics,Seed,281.0
Startup_1425,2000,Brazil,Tech,Series A,480.0
Startup_1426,2008,China,Energy,Series B,382.0
Startup_1427,2003,Germany,Energy,IPO,53.0
Startup_1428,2002,Japan,FinTech,IPO,1.0
Startup_1429,2012,India,Tech,Series C,394.0
Startup_1430,2010,Germany,E-commerce,Series A,288.0
Startup_1431,2004,UK,Tech,IPO,380.0
Startup_1432,2009,Japan,Gaming,IPO,367.0
Startup_1433,2012,Brazil,Tech,Seed,60.0
Startup_1434,2006,Brazil,FoodTech,Seed,472.0
Startup_1435,2014,Japan,Healthcare,Series B,348.0
Startup_1436,2005,USA,FinTech,Series A,267.0
Startup_1437,2007,China,AI,Series B,44.0
Startup_1438,2015,Germany,E-commerce,Seed,141.0
Startup_1439,2000,Germany,FoodTech,IPO,474.0
Startup_1440,2015,Australia,Tech,IPO,150.0
Startup_1441,2012,France,Logistics,Series A,316.0
Startup_1442,2014,China,Healthcare,Seed,26.0
Startup_1443,2000,Canada,Tech,Series B,243.0
Startup_1444,2020,Brazil,AI,IPO,136.0
Startup_1445,2001,Germany,Healthcare,IPO,59.0
Startup_1446,2007,Germany,Energy,Series B,478.0
Startup_1447,2022,Canada,Healthcare,IPO,263.0
Startup_1448,2014,Germany,Tech,Series B,181.0
Startup_1449,2019,Japan,Tech,IPO,383.0
Startup_1450,2005,India,Healthcare,Series A,355.0
Startup_1451,2014,Japan,AI,Series C,285.0
Startup_1452,2003,India,EdTech,IPO,81.0
Startup_1453,2006,France,Healthcare,Series A,487.0
Startup_1454,2001,China,Energy,Series C,306.0
Startup_1455,2009,UK,Healthcare,Series C,118.0
Startup_1456,2012,India,Logistics,IPO,316.0
Startup_1457,2007,UK,Gaming,Series C,409.0
Startup_1458,2019,Brazil,Tech,IPO,122.0
Startup_1459,2001,USA,FinTech,Series A,279.0
Startup_1460,2012,Brazil,AI,Seed,470.0
Startup_1461,2009,Germany,Tech,IPO,227.0
Startup_1462,2021,Brazil,FinTech,Seed,496.0
Startup_1463,2000,Brazil,E-commerce,Series B,444.0
Startup_1464,2002,China,Healthcare,Series A,203.0
Startup_1465,2011,Brazil,EdTech,Series A,152.0
Startup_1466,2010,India,Tech,Series C,150.0
Startup_1467,2002,Germany,Tech,Series B,64.0
Startup_1468,2005,Brazil,Energy,Seed,321.0
Startup_1469,2000,Japan,Tech,Series A,147.0
Startup_1470,2002,Japan,FinTech,Seed,498.0
Startup_1471,2015,China,EdTech,Series C,150.0
Startup_1472,2009,France,Energy,Series A,249.0
Startup_1473,2000,UK,FinTech,Series C,480.0
Startup_1474,2006,USA,Gaming,IPO,464.0
Startup_1475,2018,Brazil,Gaming,Series B,307.0
Startup_1476,2007,USA,Gaming,Series C,342.0
Startup_1477,2019,Germany,EdTech,Series A,288.0
Startup_1478,2000,Canada,FinTech,Series B,407.0
Startup_1479,2003,Australia,FinTech,IPO,7.0
Startup_1480,2013,UK,Tech,IPO,286.0
Startup_1481,2002,USA,Energy,Series B,256.0
Startup_1482,2017,Australia,Healthcare,Series C,446.0
Startup_1483,2009,USA,E-commerce,Series A,447.0
Startup_1484,2012,India,AI,IPO,354.0
Startup_1485,2007,China,Tech,Series C,358.0
Startup_1486,2008,USA,E-commerce,IPO,445.0
Startup_1487,2014,Germany,Energy,Series C,178.0
Startup_1488,2013,France,Healthcare,Series B,62.0
Startup_1489,2001,Australia,Tech,Series A,364.0
Startup_1490,2020,UK,Gaming,IPO,25.0
Startup_1491,2005,Australia,Logistics,Series B,288.0
Startup_1492,2005,China,Gaming,Series B,461.0
Startup_1493,2013,UK,Tech,Series B,183.0
Startup_1494,2015,Germany,E-commerce,Series B,349.0
Startup_1495,2004,Germany,Gaming,IPO,351.0
Startup_1496,2013,Japan,Healthcare,Series A,131.0
Startup_1497,2006,China,Logistics,IPO,233.0
Startup_1498,2009,Germany,FinTech,Series A,469.0
Startup_1499,2017,Japan,FoodTech,Series C,67.0
Startup_1500,2019,UK,Gaming,IPO,325.0
Startup_1501,2007,India,Logistics,Series C,212.0
Startup_1502,2011,Brazil,E-commerce,Series B,441.0
Startup_1503,2012,Australia,Gaming,Series B,266.0
Startup_1504,2012,Japan,AI,IPO,17.0
Startup_1505,2018,China,Tech,Series C,40.0
Startup_1506,2004,India,Tech,Series A,234.0
Startup_1507,2002,Canada,EdTech,Series B,144.0
Startup_1508,2009,UK,Gaming,Seed,380.0
Startup_1509,2010,France,Energy,Seed,483.0
Startup_1510,2006,Germany,FinTech,Series B,60.0
Startup_1511,2004,USA,Logistics,Series C,30.0
Startup_1512,2013,India,FoodTech,Series B,442.0
Startup_1513,2022,India,Energy,Series A,159.0
Startup_1514,2002,France,FoodTech,Series A,360.0
Startup_1515,2008,Germany,FoodTech,Seed,42.0
Startup_1516,2013,Japan,Energy,Seed,28.0
Startup_1517,2019,Japan,Energy,Series A,366.0
Startup_1518,2018,Germany,Gaming,Seed,345.0
Startup_1519,2002,Australia,Healthcare,Series B,440.0
Startup_1520,2010,UK,Gaming,IPO,370.0
Startup_1521,2005,Brazil,EdTech,Series B,146.0
Startup_1522,2001,China,EdTech,Series B,222.0
Startup_1523,2012,China,Gaming,Seed,239.0
Startup_1524,2004,Brazil,Logistics,Seed,104.0
Startup_1525,2014,France,Gaming,Series A,448.0
Startup_1526,2004,India,E-commerce,IPO,312.0
Startup_1527,2012,Canada,E-commerce,Series B,296.0
Startup_1528,2013,Germany,Healthcare,Series A,150.0
Startup_1529,2006,Japan,Logistics,IPO,486.0
Startup_1530,2020,Brazil,Healthcare,Series A,330.0
Startup_1531,2006,India,Tech,Series C,88.0
Startup_1532,2018,France,FoodTech,Series C,278.0
Startup_1533,2016,China,Gaming,Series B,299.0
Startup_1534,2021,China,FinTech,Series C,278.0
Startup_1535,2009,Australia,FoodTech,Seed,90.0
Startup_1536,2020,Australia,E-commerce,Seed,265.0
Startup_1537,2010,UK,Energy,Series A,441.0
Startup_1538,2015,France,FinTech,Series A,161.0
Startup_1539,2013,Canada,Gaming,Seed,109.0
Startup_1540,2006,Australia,EdTech,Seed,137.0
Startup_1541,2005,India,EdTech,Seed,180.0
Startup_1542,2013,Brazil,EdTech,Series C,466.0
Startup_1543,2021,Germany,Energy,IPO,393.0
Startup_1544,2013,Australia,Healthcare,IPO,357.0
Startup_1545,2000,Australia,Tech,Series C,56.0
Startup_1546,2003,Australia,Gaming,Seed,467.0
Startup_1547,2022,Australia,FoodTech,Seed,409.0
Startup_1548,2008,UK,FoodTech,Series B,58.0
Startup_1549,2019,UK,Tech,Series C,50.0
Startup_1550,2008,USA,Logistics,Series A,85.0
Startup_1551,2021,India,Healthcare,Series B,235.0
Startup_1552,2022,China,E-commerce,IPO,489.0
Startup_1553,2022,Germany,E-commerce,Series B,204.0
Startup_1554,2018,USA,E-commerce,Series C,391.0
Startup_1555,2016,France,Tech,Series B,474.0
Startup_1556,2013,Australia,FinTech,IPO,130.0
Startup_1557,2014,France,FoodTech,Series B,101.0
Startup_1558,2014,Germany,FinTech,Series C,272.0
Startup_1559,2013,Brazil,Healthcare,Seed,80.0
Startup_1560,2014,USA,Tech,Seed,46.0
Startup_1561,2007,Japan,FinTech,Seed,209.0
Startup_1562,2016,Canada,FoodTech,Series C,466.0
Startup_1563,2004,Canada,Energy,Series B,343.0
Startup_1564,2020,Canada,FinTech,Series B,65.0
Startup_1565,2011,Japan,Logistics,Series A,446.0
Startup_1566,2002,Australia,Tech,Series C,365.0
Startup_1567,2006,India,Healthcare,Series A,95.0
Startup_1568,2017,Canada,FinTech,Series C,295.0
Startup_1569,2003,Canada,Energy,Seed,86.0
Startup_1570,2001,Japan,AI,Series C,396.0
Startup_1571,2018,Japan,Healthcare,Seed,484.0
Startup_1572,2014,Canada,Tech,IPO,436.0
Startup_1573,2006,USA,E-commerce,Seed,179.0
Startup_1574,2011,Japan,Tech,Series A,247.0
Startup_1575,2020,China,E-commerce,Seed,424.0
Startup_1576,2020,Germany,EdTech,Seed,135.0
Startup_1577,2016,China,AI,Series C,362.0
Startup_1578,2005,Brazil,Logistics,Series C,198.0
Startup_1579,2018,Australia,E-commerce,Seed,403.0
Startup_1580,2012,UK,EdTech,Series A,310.0
Startup_1581,2004,Germany,EdTech,IPO,481.0
Startup_1582,2005,China,FinTech,Seed,360.0
Startup_1583,2019,India,E-commerce,Series C,234.0
Startup_1584,2010,Australia,Energy,Series C,192.0
Startup_1585,2021,Australia,Tech,Seed,21.0
Startup_1586,2014,Australia,EdTech,Series C,483.0
Startup_1587,2006,France,AI,Series B,311.0
Startup_1588,2022,Australia,FinTech,Series A,197.0
Startup_1589,2006,France,Energy,IPO,414.0
Startup_1590,2015,Australia,FoodTech,Series C,276.0
Startup_1591,2003,Germany,Tech,Seed,18.0
Startup_1592,2021,Canada,Logistics,Series C,12.0
Startup_1593,2020,Germany,E-commerce,Series C,280.0
Startup_1594,2006,China,EdTech,Series B,19.0
Startup_1595,2021,Japan,Healthcare,IPO,344.0
Startup_1596,2017,India,FoodTech,Series B,335.0
Startup_1597,2016,Canada,AI,Series C,469.0
Startup_1598,2009,Australia,FoodTech,Series A,480.0
Startup_1599,2012,USA,Healthcare,Seed,149.0
Startup_1600,2020,Canada,FinTech,IPO,295.0
Startup_1601,2018,China,Logistics,Series C,102.0
Startup_1602,2018,USA,EdTech,IPO,265.0
Startup_1603,2012,Australia,Healthcare,Series B,430.0
Startup_1604,2012,China,EdTech,Seed,196.0
Startup_1605,2008,Brazil,FoodTech,Series B,311.0
Startup_1606,2002,Canada,Tech,Series A,300.0
Startup_1607,2014,Australia,E-commerce,Seed,182.0
Startup_1608,2020,Australia,Logistics,Series A,33.0
Startup_1609,2004,Brazil,E-commerce,Series C,47.0
Startup_1610,2016,Canada,EdTech,Series B,373.0
Startup_1611,2011,Japan,AI,Series A,332.0
Startup_1612,2015,UK,Gaming,Series B,89.0
Startup_1613,2015,Canada,Gaming,Seed,49.0
Startup_1614,2012,Germany,Healthcare,IPO,412.0
Startup_1615,2005,China,EdTech,Series A,495.0
Startup_1616,2019,UK,Gaming,Series C,269.0
Startup_1617,2017,UK,FoodTech,Series A,118.0
Startup_1618,2008,UK,AI,Seed,172.0
Startup_1619,2002,USA,E-commerce,Series A,317.0
Startup_1620,2004,Brazil,Tech,Series C,295.0
Startup_1621,2011,Japan,AI,Series C,64.0
Startup_1622,2018,Japan,Logistics,IPO,404.0
Startup_1623,2001,Canada,Energy,Series C,384.0
Startup_1624,2008,UK,Energy,Series C,186.0
Startup_1625,2013,Japan,AI,IPO,82.0
Startup_1626,2012,UK,Energy,IPO,480.0
Startup_1627,2020,France,Gaming,Series A,314.0
Startup_1628,2018,Japan,FoodTech,Series C,131.0
Startup_1629,2021,Japan,Logistics,Series C,63.0
Startup_1630,2013,France,Healthcare,IPO,257.0
Startup_1631,2019,India,Healthcare,IPO,435.0
Startup_1632,2007,Canada,Logistics,Series C,496.0
Startup_1633,2008,China,FoodTech,Series B,122.0
Startup_1634,2008,Brazil,EdTech,Seed,161.0
Startup_1635,2004,Canada,E-commerce,Series B,391.0
Startup_1636,2019,Brazil,Energy,Series B,442.0
Startup_1637,2000,India,E-commerce,Series C,299.0
Startup_1638,2003,China,Healthcare,Series A,54.0
Startup_1639,2011,USA,FinTech,Series B,270.0
Startup_1640,2012,Germany,EdTech,Series C,89.0
Startup_1641,2019,USA,FoodTech,IPO,2.0
Startup_1642,2013,India,Tech,Seed,421.0
Startup_1643,2003,UK,Healthcare,Series C,290.0
Startup_1644,2014,UK,FinTech,Series A,309.0
Startup_1645,2020,Brazil,FoodTech,IPO,400.0
Startup_1646,2007,UK,Healthcare,Series B,35.0
Startup_1647,2008,France,Logistics,IPO,135.0
Startup_1648,2004,UK,AI,Series A,444.0
Startup_1649,2015,India,Tech,Seed,174.0
Startup_1650,2001,Japan,Tech,Seed,313.0
Startup_1651,2001,India,Logistics,IPO,146.0
Startup_1652,2006,Japan,Energy,Series A,9.0
Startup_1653,2014,Germany,Healthcare,Series B,464.0
